demand_id,plan_type,fabric_category,internal_item_id,item_id,max_production_limit,min_production_period,max_production_period,arrival_date,type,priority,history_supplier_id,algo_finished,algo_physical_supplier_id,designated_physical_supplier_id,forced_using_private_capacity,shared_capacity_availability,advancement_candidate,manual_arrival_date,valid,create_time,update_time
1585937137621069834,1,针织,200223119202,C49332207,2,-1,-1,2022-11-14,预估单,蓝单,0003000484,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069835,1,针织,200223119202,C49332207,2,-1,-1,2022-11-14,预估单,蓝单,0003000484,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069836,1,针织,200223119202,C49332207,2,-1,-1,2022-11-14,预估单,蓝单,0003000484,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069837,1,针织,200223134202,C49109243,1,-1,-1,2022-11-25,预估单,蓝单,0003000659,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069838,1,针织,200223122003,C49356028,1,-1,-1,2022-11-14,预估单,蓝单,0003000680,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069839,1,针织,200223119105,C49341846,1,-1,-1,2022-11-14,预估单,蓝单,0003000668,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069840,1,针织,200223119108,C49388370,2,-1,-1,2022-11-25,预估单,蓝单,0003000658,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069841,1,针织,200223119108,C49388370,2,-1,-1,2022-11-25,预估单,蓝单,0003000658,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069842,1,针织,200223117104,C49339781,1,-1,-1,2022-11-25,预估单,蓝单,0003000484,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069843,1,针织,200223117104,C49339781,1,-1,-1,2022-11-25,预估单,蓝单,0003000484,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069844,1,梭织,200223120001,C49388371,2,-1,-1,2022-11-14,预估单,蓝单,0003000666,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069845,1,梭织,200223120001,C49388371,2,-1,-1,2022-11-14,预估单,蓝单,0003000666,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069846,1,梭织,200223108107,C49396274,1,-1,-1,2022-11-29,预估单,蓝单,0003000000,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
